Suhu Lingkungan,Kelembaban,PPM GAS
31.9,56.0,2.04
31.9,56.0,1.61
31.9,56.0,1.29
31.9,56.0,0.98
31.9,56.0,0.75
31.9,56.0,0.58
31.9,56.0,0.46
31.9,56.0,0.36
32.0,57.0,0.29
32.0,57.0,0.24
32.0,57.0,0.2
32.0,57.0,0.17
32.0,57.0,0.15
32.0,57.0,0.13
32.1,57.0,0.13
32.1,57.0,0.12
32.1,57.0,0.1
32.1,57.0,0.1
32.1,57.0,0.09
32.1,57.0,0.08
32.1,57.0,0.08
32.1,57.0,0.08
32.2,57.0,0.08
32.2,57.0,0.08
32.2,57.0,0.07
32.2,57.0,0.07
32.2,57.0,0.07
32.2,57.0,0.06
32.3,57.0,0.06
32.3,57.0,0.07
32.3,56.0,0.06
32.3,56.0,0.06
32.3,56.0,0.05
32.3,56.0,0.05
32.3,56.0,0.05
32.3,56.0,0.05
32.3,56.0,0.05
32.3,56.0,0.05
32.3,56.0,0.05
32.3,56.0,0.05
32.3,56.0,0.05
32.3,56.0,0.05
32.3,55.0,0.05
32.3,55.0,0.04
32.3,55.0,0.05
32.3,55.0,0.04
32.3,55.0,0.04
32.3,55.0,3.57
32.3,55.0,3.51
32.3,55.0,3.51
32.3,55.0,3.48
32.3,55.0,3.42
32.3,55.0,3.42
32.3,55.0,3.39
32.3,55.0,3.33
32.3,55.0,3.3
32.3,55.0,3.47
32.3,55.0,3.44
32.3,55.0,3.44
32.3,55.0,3.47
32.3,55.0,3.38
32.3,55.0,3.41
32.3,55.0,3.38
32.3,55.0,3.32
32.3,55.0,3.29
32.3,55.0,3.32
32.3,55.0,3.53
32.3,55.0,3.53
32.3,55.0,3.5
32.3,55.0,3.5
32.3,55.0,3.47
32.3,55.0,3.47
32.3,55.0,3.43
32.3,55.0,3.43
32.3,55.0,3.55
32.3,55.0,3.48
32.3,55.0,3.48
32.3,55.0,3.48
32.3,54.0,3.48
32.3,54.0,3.48
32.3,52.0,5.36
32.3,52.0,6.42
32.4,52.0,5.35
32.4,52.0,5.92
32.4,52.0,6.47
32.4,52.0,6.93
32.4,52.0,7.17
32.4,52.0,7.42
32.4,52.0,7.42
32.4,52.0,7.8
32.4,52.0,7.48
32.4,52.0,7.73
32.4,52.0,7.29
32.4,52.0,7.05
32.5,52.0,6.81
32.5,52.0,6.64
32.5,52.0,6.47
32.5,52.0,6.35
32.5,52.0,6.24
32.5,52.0,6.08
32.5,52.0,6.02
32.5,52.0,5.97
32.5,52.0,5.92
32.5,52.0,5.76
32.5,52.0,5.71
32.5,52.0,5.6
32.5,52.0,5.5
32.5,52.0,5.5
32.5,52.0,5.35
32.5,52.0,5.3
32.5,52.0,5.2
32.5,52.0,5.11
32.5,52.0,5.11
32.5,52.0,5.06
32.5,52.0,4.92
32.5,52.0,4.96
32.5,52.0,4.92
32.5,52.0,4.92
32.5,52.0,4.92
32.5,52.0,4.92
32.5,52.0,4.87
32.5,52.0,4.82
32.5,52.0,4.82
32.5,52.0,4.78
32.5,52.0,4.78
32.5,52.0,4.73
32.5,52.0,4.73
32.5,52.0,4.73
32.4,52.0,4.73
32.4,52.0,4.64
32.5,52.0,4.64
32.5,52.0,4.64
32.4,52.0,4.59
32.4,52.0,4.55
32.4,52.0,4.55
32.4,52.0,4.55
32.5,52.0,4.59
32.5,52.0,4.55
32.4,52.0,4.5
32.4,52.0,4.55
32.4,52.0,4.55
32.4,52.0,4.5
32.4,52.0,4.5
32.4,52.0,4.5
32.4,52.0,4.46
32.4,52.0,4.42
32.5,52.0,4.46
32.5,52.0,4.42
32.5,52.0,4.46
32.5,52.0,4.37
32.5,52.0,4.37
32.5,52.0,4.37
32.5,52.0,4.37
32.5,52.0,4.33
32.5,52.0,4.37
32.5,52.0,4.33
32.5,52.0,4.33
32.5,52.0,4.33
32.5,52.0,4.33
32.5,52.0,4.33
32.5,52.0,4.33
32.5,52.0,4.33
32.5,52.0,4.33
32.5,52.0,4.33
32.5,52.0,4.29
32.5,52.0,4.29
32.5,52.0,4.29
32.5,52.0,4.29
32.5,52.0,4.33
32.5,52.0,4.29
32.5,52.0,4.29
32.5,52.0,4.29
32.5,51.0,4.29
32.5,51.0,4.2
32.5,51.0,4.29
32.5,51.0,4.2
32.5,51.0,4.2
32.5,51.0,4.2
32.5,51.0,4.2
32.5,51.0,4.2
32.5,51.0,4.2
32.5,51.0,4.2
32.5,51.0,4.2
32.5,51.0,4.2
32.5,51.0,4.12
32.5,51.0,4.03
32.5,51.0,4.07
32.5,51.0,4.03
32.5,51.0,4.03
32.5,51.0,4.03
32.5,51.0,4.07
32.5,51.0,4.03
32.5,51.0,4.07
32.5,51.0,4.12
32.5,51.0,4.03
32.5,51.0,4.03
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,3.99
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.99
32.5,52.0,3.99
32.5,52.0,3.99
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,4.07
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,4.07
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,4.07
32.5,52.0,4.07
32.5,52.0,4.07
32.5,52.0,4.07
32.5,52.0,4.07
32.5,52.0,4.07
32.5,52.0,4.03
32.5,52.0,4.07
32.5,52.0,4.07
32.5,52.0,4.03
32.5,52.0,4.12
32.5,52.0,4.07
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,3.95
32.5,52.0,3.99
32.5,52.0,3.95
32.5,52.0,3.99
32.5,52.0,4.03
32.5,52.0,3.99
32.5,52.0,4.03
32.5,52.0,4.07
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,3.99
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,4.03
32.5,52.0,3.99
32.5,52.0,3.99
32.5,52.0,3.95
32.5,52.0,3.99
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.99
32.5,52.0,3.99
32.5,52.0,3.99
32.5,52.0,3.95
32.5,52.0,4.03
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.95
32.5,52.0,3.91
32.5,52.0,3.87
32.5,52.0,3.83
32.4,52.0,3.87
32.4,52.0,3.91
32.4,52.0,3.91
32.4,52.0,3.91
32.4,52.0,3.91
32.4,52.0,3.95
32.4,52.0,3.95
32.4,52.0,3.91
32.4,52.0,3.91
32.4,52.0,3.95
